id,class
0,3
1,7
2,2
3,9
4,6
5,9
6,7
7,1
8,3
9,0
10,3
11,1
12,3
13,9
14,3
15,8
16,3
17,7
18,0
19,0
20,1
21,6
22,5
23,6
24,2
25,3
26,2
27,5
28,3
29,7
30,9
31,2
32,7
33,9
34,1
35,2
36,9
37,3
38,0
39,1
40,3
41,2
42,9
43,6
44,1
45,3
46,7
47,4
48,3
49,0
50,9
51,7
52,8
53,4
54,9
55,9
56,9
57,6
58,5
59,1
60,2
61,8
62,1
63,3
64,7
65,8
66,9
67,4
68,9
69,2
70,4
71,7
72,1
73,9
74,7
75,7
76,3
77,0
78,0
79,3
80,2
81,4
82,0
83,8
84,8
85,7
86,9
87,9
88,6
89,9
90,2
91,8
92,3
93,1
94,0
95,1
96,6
97,3
98,7
99,7
100,8
101,3
102,5
103,7
104,0
105,7
106,9
107,5
108,0
109,4
110,2
111,9
112,0
113,3
114,3
115,6
116,1
117,9
118,9
119,9
120,3
121,3
122,2
123,7
124,8
125,9
126,8
127,9
128,4
129,3
130,5
131,9
132,3
133,9
134,4
135,9
136,9
137,6
138,7
139,3
140,3
141,9
142,7
143,7
144,4
145,4
146,0
147,6
148,5
149,8
150,9
151,1
152,4
153,0
154,9
155,5
156,4
157,0
158,5
159,7
160,1
161,9
162,0
163,5
164,0
165,2
166,3
167,0
168,2
169,1
170,5
171,7
172,9
173,1
174,3
175,3
176,9
177,0
178,0
179,9
180,7
181,4
182,8
183,7
184,6
185,2
186,2
187,9
188,9
189,6
190,1
191,0
192,0
193,3
194,3
195,1
196,3
197,9
198,3
199,3
200,9
201,9
202,9
203,3
204,7
205,2
206,9
207,6
208,8
209,1
210,6
211,7
212,6
213,3
214,2
215,4
216,9
217,4
218,9
219,2
220,9
221,1
222,4
223,2
224,6
225,7
226,2
227,3
228,7
229,8
230,9
231,7
232,9
233,1
234,6
235,9
236,8
237,9
238,3
239,7
240,8
241,9
242,7
243,7
244,4
245,0
246,1
247,5
248,1
249,0
250,1
251,4
252,6
253,4
254,3
255,3
256,8
257,1
258,0
259,4
260,9
261,8
262,3
263,4
264,8
265,4
266,3
267,1
268,8
269,7
270,0
271,1
272,1
273,1
274,7
275,6
276,9
277,6
278,2
279,3
280,0
281,8
282,3
283,0
284,3
285,8
286,0
287,3
288,7
289,9
290,0
291,6
292,7
293,5
294,5
295,6
296,9
297,8
298,2
299,6
300,7
301,1
302,7
303,2
304,4
305,7
306,0
307,4
308,3
309,1
310,7
311,7
312,5
313,0
314,9
315,4
316,2
317,6
318,7
319,3
320,0
321,3
322,7
323,3
324,9
325,0
326,9
327,6
328,9
329,2
330,1
331,5
332,3
333,1
334,2
335,3
336,1
337,9
338,2
339,6
340,0
341,6
342,8
343,7
344,8
345,9
346,9
347,7
348,9
349,0
350,0
351,3
352,2
353,7
354,6
355,6
356,9
357,1
358,3
359,6
360,6
361,3
362,3
363,3
364,2
365,7
366,8
367,3
368,4
369,3
370,7
371,2
372,2
373,9
374,6
375,3
376,6
377,8
378,6
379,6
380,6
381,7
382,0
383,9
384,7
385,2
386,3
387,4
388,7
389,3
390,2
391,6
392,7
393,3
394,8
395,6
396,2
397,3
398,3
399,9
400,7
401,2
402,7
403,5
404,0
405,4
406,2
407,5
408,9
409,7
410,5
411,1
412,8
413,9
414,0
415,3
416,6
417,3
418,5
419,5
420,6
421,6
422,7
423,8
424,9
425,0
426,9
427,2
428,3
429,1
430,0
431,6
432,7
433,6
434,6
435,0
436,3
437,9
438,4
439,9
440,1
441,6
442,3
443,0
444,2
445,8
446,1
447,3
448,9
449,2
450,6
451,4
452,1
453,7
454,8
455,7
456,3
457,5
458,3
459,2
460,5
461,0
462,7
463,5
464,2
465,9
466,6
467,0
468,3
469,1
470,0
471,6
472,7
473,9
474,7
475,2
476,3
477,9
478,7
479,6
480,0
481,7
482,3
483,1
484,9
485,2
486,3
487,3
488,0
489,4
490,5
491,7
492,9
493,5
494,9
495,1
496,7
497,9
498,5
499,7
500,9
501,9
502,3
503,0
504,5
505,9
506,6
507,2
508,9
509,5
510,0
511,9
512,0
513,2
514,4
515,6
516,7
517,3
518,0
519,2
520,7
521,0
522,3
523,2
524,9
525,7
526,7
527,2
528,0
529,5
530,1
531,7
532,1
533,9
534,1
535,9
536,9
537,3
538,3
539,7
540,2
541,3
542,5
543,8
544,2
545,7
546,2
547,3
548,4
549,4
550,8
551,0
552,5
553,7
554,2
555,3
556,6
557,1
558,3
559,7
560,0
561,1
562,9
563,6
564,7
565,4
566,5
567,1
568,6
569,3
570,5
571,3
572,3
573,3
574,9
575,3
576,7
577,3
578,8
579,3
580,7
581,7
582,7
583,0
584,0
585,4
586,9
587,5
588,7
589,7
590,0
591,7
592,2
593,9
594,3
595,3
596,9
597,2
598,9
599,7
600,1
601,2
602,0
603,3
604,9
605,1
606,3
607,7
608,9
609,1
610,3
611,7
612,9
613,7
614,0
615,9
616,7
617,3
618,1
619,2
620,2
621,7
622,4
